NUMTAR;DOCFEC;DOCSER;DOCNUM;DESTAR;IMPOBRA;IMPMAT;MARCA
01;16/08/2011;23;000278;VTA. DE REPUESTOS;0;129,77;N
01;16/08/2011;21;000976;VTA. DE REPUESTOS;0;21,52;N
01;16/08/2011;24;000277;VTA. DE REPUESTOS;0;207,87;N
01;16/08/2011;21;000977;VTA. DE REPUESTOS;0;1427,97;N
01;16/08/2011;22;000390;VTA. DE REPUESTOS;0;12,39;N
01;16/08/2011;21;000978;VTA. DE REPUESTOS;0;17,45;N
01;16/08/2011;23;000279;VTA. DE REPUESTOS;0;171,78;N
01;16/08/2011;21;000979;VTA. DE REPUESTOS;0;204;N
01;16/08/2011;21;000980;VTA. DE REPUESTOS;0;19,22;N
01;16/08/2011;24;000278;VTA. DE REPUESTOS;0;207,04;N
01;18/08/2011;24;000279;VTA. DE REPUESTOS;0;2086,57;N
01;16/08/2011;22;000391;VTA. DE REPUESTOS;0;5,65;N
01;02/08/2011;23;000280;VTA. DE REPUESTOS;0;1375,27;N
01;16/08/2011;21;000981;VTA. DE REPUESTOS;0;61,04;N
01;16/08/2011;23;000281;VTA. DE REPUESTOS;0;36;N
01;16/08/2011;21;000982;VTA. DE REPUESTOS;0;40,27;N
01;16/08/2011;21;000983;VTA. DE REPUESTOS;0;5,6;N
01;17/08/2011;21;000984;VTA. DE REPUESTOS;0;36,13;N
01;17/08/2011;21;000985;VTA. DE REPUESTOS;0;254,83;N
01;17/08/2011;21;000986;VTA. DE REPUESTOS;0;55,6;N
01;17/08/2011;21;000987;VTA. DE REPUESTOS;0;71,7;N
01;17/08/2011;22;000393;VTA. DE REPUESTOS;0;2,05;N
01;17/08/2011;23;000282;VTA. DE REPUESTOS;0;24,94;N
01;17/08/2011;22;000394;VTA. DE REPUESTOS;0;2,46;N
01;17/08/2011;21;000988;VTA. DE REPUESTOS;0;133,96;N
01;17/08/2011;21;000989;VTA. DE REPUESTOS;0;49,31;N
01;17/08/2011;23;000283;VTA. DE REPUESTOS;0;12,32;N
01;17/08/2011;21;000990;VTA. DE REPUESTOS;0;2,56;N
01;17/08/2011;21;000991;VTA. DE REPUESTOS;0;37,48;N
01;17/08/2011;22;000395;VTA. DE REPUESTOS;0;50;N
01;17/08/2011;22;000396;VTA. DE REPUESTOS;0;5,68;N
01;17/08/2011;22;000397;VTA. DE REPUESTOS;0;20;N
01;17/08/2011;22;000399;VTA. DE REPUESTOS;0;9,75;N
01;17/08/2011;23;000284;VTA. DE REPUESTOS;0;6,86;N
01;17/08/2011;21;000992;VTA. DE REPUESTOS;0;2,43;N
01;17/08/2011;21;000993;VTA. DE REPUESTOS;0;2,15;N
01;17/08/2011;21;000994;VTA. DE REPUESTOS;0;20,75;N
01;18/08/2011;21;000995;VTA. DE REPUESTOS;0;19,38;N
01;18/08/2011;21;000996;VTA. DE REPUESTOS;0;26,9;N
01;18/08/2011;21;000997;VTA. DE REPUESTOS;0;14,56;N
01;18/08/2011;22;000400;VTA. DE REPUESTOS;0;55,12;N
01;18/08/2011;24;000280;VTA. DE REPUESTOS;0;7863,06;N
01;18/08/2011;24;000281;VTA. DE REPUESTOS;0;167,81;N
01;18/08/2011;22;000401;VTA. DE REPUESTOS;0;0,98;N
01;18/08/2011;23;000285;VTA. DE REPUESTOS;0;798,43;N
01;18/08/2011;22;000402;VTA. DE REPUESTOS;0;35,6;N
01;19/08/2011;23;000286;VTA. DE REPUESTOS;0;229,17;N
01;18/08/2011;22;000403;VTA. DE REPUESTOS;0;3;N
01;18/08/2011;22;000404;VTA. DE REPUESTOS;0;62,46;N
01;19/08/2011;21;000998;VTA. DE REPUESTOS;0;34,76;N
01;19/08/2011;22;000405;VTA. DE REPUESTOS;0;94;N
01;19/08/2011;24;000282;VTA. DE REPUESTOS;0;3929,24;N
01;19/08/2011;21;000999;VTA. DE REPUESTOS;0;125,33;N
01;19/08/2011;23;000287;VTA. DE REPUESTOS;0;87,17;N
01;19/08/2011;24;000283;VTA. DE REPUESTOS;0;417,11;N
01;19/08/2011;21;001000;VTA. DE REPUESTOS;0;55,6;N
01;19/08/2011;23;000288;VTA. DE REPUESTOS;0;112,33;N
01;19/08/2011;21;001001;VTA. DE REPUESTOS;0;93,99;N
01;19/08/2011;21;001002;VTA. DE REPUESTOS;0;482,34;N
