NUMTAR;CODALM;CODPDT;DESPDT;DOCFEC;DOCSER;DOCNUM;CANFACT;CANREAL;DTOMAT;CODMOD;PORIMP;PORREC;PVP;LINMATE;MARCA
01;01;28611-16-16;BRIDA RECTA 6000 PSI;21/08/2008;82;000271;1;1;0;;;;18,45;00020;N
01;01;4900;LATIGUILLO BAJA PRESION;21/08/2008;82;000271;1;1;0;;;;4;00025;N
01;01;3.53X24.99;TORICA NITRILO                         5F1678;21/08/2008;82;000271;1;1;0;;;;3,54;00030;N
01;01;3.53X32.92;TORICA NITRILO;21/08/2008;82;000271;1;1;0;;;;2,2538;00035;N
01;01;2230-06;MANGUERA R1AT 3/8;21/08/2008;82;000272;0,47;0,47;20;;;;6,7;00005;N
01;01;3300-06;CASQUILLO R1AT R2AT;21/08/2008;82;000272;2;2;20;;;;0,85;00010;N
01;01;4900;.;21/08/2008;82;000272;1;1;0;;;;5,12;00015;N
01;01;636-06-08;MACHO FIJO-HEMBRA LOCA BSP;21/08/2008;82;000273;1;1;20;;;;3,25;00005;N
01;01;3X30;TORICA NITRILO;22/08/2008;81;000865;3;3;20;01;16;4;0,9;00005;N
01;01;3X30;TORICA NITRILO;22/08/2008;81;000866;-2;-2;20;01;16;4;0,9;00005;N
01;01;2.62X29.82;TORICA NITRILO;22/08/2008;81;000866;3;3;20;01;16;4;0,99768;00010;N
01;01;2900-08;MANGUERA TEFLON LISO 1/2;22/08/2008;81;000867;0,66;0,66;20;01;16;4;20,75;00005;N
01;01;500-08;CASQUILLO TEFLON 1/2;22/08/2008;81;000867;2;2;20;01;16;4;1,78;00010;N
01;01;11110-08-22;MACHO METRICO S.LIGERA 1/2;22/08/2008;81;000867;2;2;20;01;16;4;2,03;00015;N
01;01;2230-10;MANGUERA R1AT 5/8;22/08/2008;81;000867;1,9;1,9;20;01;16;4;9,62;00020;N
01;01;3300-10;CASQUILLO R1AT  5/8;22/08/2008;81;000867;2;2;20;01;16;4;1,75;00025;N
01;01;3.53X20.22;TORICA NITRILO;22/08/2008;81;000868;12;12;0;01;16;4;1,15;00005;N
01;01;1063-25X35;MANGUERA ACEITE HYDRO´K;22/08/2008;82;000274;0,27;0,27;15;;;;12,05;00005;N
01;01;4250-16;MANGUERA R12 1";22/08/2008;81;000869;1,35;1,35;20;01;16;4;33,65;00005;N
01;01;9900-16;CASQUILLO R9 1";22/08/2008;81;000869;2;2;20;01;16;4;5,6;00010;N
01;01;28311-16-16;BRIDA RECTA 3000 PSI;22/08/2008;81;000869;1;1;20;01;16;4;13,85;00015;N
01;01;28391-16-20;BRIDA 90º 3000 PSI;22/08/2008;81;000869;1;1;20;01;16;4;30,44;00020;N
01;01;3.53X32.92;TORICA NITRILO;22/08/2008;81;000869;1;1;20;01;16;4;2,2538;00025;N
01;01;3.53X37.69;TORICA NITRILO;22/08/2008;81;000869;1;1;20;01;16;4;2,61;00030;N
01;01;3511-08;MANGUERA R2AT 1/2;25/08/2008;82;000275;0,56;0,56;20;;;;9,91;00005;N
01;01;3300-08;CASQUILLO R1AT 1/2;25/08/2008;82;000275;2;2;20;;;;1,26;00010;N
01;01;20511-08-08;ESPIGA RECTA T.L. BSP 1/2;25/08/2008;82;000275;2;2;20;;;;1,62;00015;N
01;01;7622-16-16;ENCHUFE RAPIDO PARTE MACHO 1";25/08/2008;81;000870;1;1;15;01;16;4;25,04;00005;N
01;01;20511-06-06;ESPIGA RECTA T.L. BSP 3/8;25/08/2008;81;000871;1;1;15;01;16;4;1,23;00005;N
01;01;3300-06;CASQUILLO R1AT R2AT;25/08/2008;81;000871;1;1;15;01;16;4;0,82;00010;N
01;01;6200-05;MANGUERA DE GAS-OIL;25/08/2008;82;000276;2,8;2,8;20;;0;0;4,55;00005;N
01;01;3000-125;CASQUILLO CAMPANA;25/08/2008;82;000276;8;8;20;;0;0;0,16;00010;N
01;01;20591-04-04;ESPIGA 90º T.L. BSP 1/4;25/08/2008;82;000276;2;2;20;;0;0;1,84;00015;N
01;01;10510-04-06;ESPIGA RECTA BSP 1/4-3/8;25/08/2008;82;000276;2;2;20;;;;1,72;00020;N
01;01;3300-06-AI;CASQUILLO 3/8 INOXIDABLE;25/08/2008;81;000872;2;2;20;01;16;4;7,88;00005;N
01;01;20511-06-06AI;ESPIGA RECTA T.L. BSP 3/8 INOXIDABLE;25/08/2008;81;000872;2;2;20;01;16;4;11,2;00010;N
01;01;V-14070A;TORNILLO ALLEN;25/08/2008;83;000077;40;40;20;01;16;4;2,94;00005;N
01;01;TM-014;TUERCA EXAGONAL DIN 934 M-14X200;25/08/2008;83;000077;40;40;20;01;16;4;0,25;00010;N
01;01;3511-06;MANGUERA R2AT 3/8;25/08/2008;82;000277;1,25;1,25;15;;;;8,35;00005;N
01;01;3300-06;CASQUILLO R1AT R2AT;25/08/2008;82;000277;2;2;15;;;;0,82;00010;N
01;01;22511-06-08;ESPIGA RECTA T.L. JIC 3/8;25/08/2008;82;000277;2;2;15;;;;1,57;00015;N
01;01;4903-630;BATERIA 180 +D;25/08/2008;81;000873;2;2;15;01;16;4;183,97;00005;N
01;01;4903-630;BATERIA 180 +D;25/08/2008;81;000874;1;1;0;01;16;4;122,65;00005;N
01;01;4903-CK3100;MANOS LIBRE PARROT CON PANTALLA;25/08/2008;81;000874;1;1;0;01;16;4;95;00010;N
01;01;4903-096;BATERIA 70 AH +D;25/08/2008;81;000875;1;1;20;01;16;4;72,75;00005;N
01;01;4908-549-290-110;ABRAZADERA ZEBRA NIROSTA 12 MM.;26/08/2008;81;000876;2;2;20;01;16;4;1,58;00005;N
01;01;4900-AGUA-5;AGUA DESTILADA 5 LITROS;26/08/2008;81;000877;1;1;15;01;16;4;2,16;00005;N
01;01;4250-16;MANGUERA R12 1";26/08/2008;81;000878;0,7;0,7;15;01;16;4;33,65;00005;N
01;01;9900-16;CASQUILLO R9 1";26/08/2008;81;000878;1;1;15;01;16;4;5,56;00010;N
01;01;900-16;CASQUILLO 4SH R9R 1";26/08/2008;81;000878;1;1;15;01;16;4;5,29;00015;N
01;01;20591-16-16;ESPIGA 90º T.L. BSP 1";26/08/2008;81;000878;1;1;15;01;16;4;12,875;00020;N
01;01;28311-16-16;BRIDA RECTA 3000 PSI;26/08/2008;81;000878;1;1;15;01;16;4;13,85;00025;N
01;01;3.53X32.92;TORICA NITRILO;26/08/2008;81;000878;1;1;15;01;16;4;2,2538;00030;N
01;01;4735-W716/1;FILTRO;26/08/2008;82;000278;1;1;0;;;;6;00005;N
01;01;4735-PU-330X;FILTRO;26/08/2008;82;000278;1;1;0;;;;13,78;00010;N
01;01;4735-C25337;FILTRO;26/08/2008;82;000278;1;1;0;;;;7,59;00015;N
01;01;4738-BD103;FILTRO ACEITE MOTOR;26/08/2008;81;000879;1;1;20;01;16;4;27,4;00005;N
01;01;4738-BF1280;FILTRO SEP. AG/GAS;26/08/2008;81;000879;1;1;20;01;16;4;9,9;00010;N
01;01;4738-BF7631;FILTRO GASOIL;26/08/2008;81;000879;-1;-1;20;01;16;4;13,05;00015;N
01;01;4738-B76;FILTRO ACEITE MOTOR     466634;26/08/2008;81;000879;-1;-1;20;01;16;4;9,4;00020;N
01;01;4738-BF7633;FILTRO GAS-OIL      1R0750;26/08/2008;81;000879;-1;-1;20;01;16;4;8,88;00025;N
01;01;6200-08;MANGUERA DE GAS-OIL;26/08/2008;81;000880;0,5;0,5;20;01;16;4;5,5;00005;N
01;01;3000-145;CASQUILLO CAMPANA;26/08/2008;81;000880;2;2;20;01;16;4;0,17;00010;N
01;01;2230-05;MANGUERA R1AT 5/16;27/08/2008;82;000279;0,58;0,58;20;;;;6,23;00005;N
01;01;3300-05;CASQUILLO R1AT 5/16;27/08/2008;82;000279;2;2;20;;;;1,13;00010;N
01;01;11110-05-16;MACHO METRICO S.LIGERA 5/16;27/08/2008;82;000279;1;1;20;;;;1,49;00015;N
01;01;21513-05-16;ESPIGA RECTA T.L S.LIGERA 5/16;27/08/2008;82;000279;1;1;20;;;;1,95;00020;N
01;01;597-16-16;ARANDELA METAL GOMA M-16;27/08/2008;82;000279;1;1;20;;;;0,37;00025;N
