CODOPER;DOCFEC;DOCSER;DOCNUM;DESCOP;HORACAN;DTOOBR;CODMOD;PORIMP;PORREC;PRETAR;NUMTAR;LINOBRA
101;15/05/2008;81;000021;LIMPIEZA DE PIEZAS , MONTAJE DE MOTOR , BOMBAS Y RADIADOR EN TALLER . ARRANQUE Y PRUEBA DE MOTOR EN TALLER;100;0;01;16;4;28;01;005
101;15/05/2008;81;000021;DESPIECE DE RADIADOR , BAQUETEADO DEL MISMO , LIMPIEZA , COMPROBACION , MONTAJE DE TAPAS CON JUNTAS Y LIMPIEZA DE ENFRIADOR DE MOTOR;1;0;01;16;4;0,01;02;005
101;16/06/2008;81;000026;REPARACION DE MARTILLO;35;0;01;16;4;28;01;005
800;10/06/2008;81;000028;DESPLAZAMIENTO , DESMONTAR INYECTORES Y COLOCACION DE NUEVOS;4;0;01;16;4;30;01;005
101;17/07/2008;81;000034;DESMONTAR MARTILLO  , LIMPIEZA Y MONTAJE;6;0;01;16;4;27;01;005
101;17/09/2008;81;000038;REPARACION EN TALLER;50;0;01;16;4;26;01;005
800;08/10/2008;81;000042;DESPLAZAMIENTO A PLANTA , DESMONTAR BOTELLAS , COLOCACION DE KIT DE REPARACION Y MONTAJE;8;0;01;16;4;28;01;005
101;21/10/2008;81;000045;DESPLAZAMIENTO A FABRICA, DESMONTAR DOS CADENAS DE PROTECCION DE NEUMATICOS USADAS ;20;0;01;16;4;28;01;005
800;23/10/2008;81;000047;DESPLAZAMIENTO , DESMONTAR INYECTOR , COLOCACION DE NUEVO Y AJUSTES ;3,5;0;01;16;4;30;01;005
800;21/10/2008;81;000045;MONTAR CADENA PROTECTORA EN RUEDA ;15;0;01;16;4;28;01;010
101;04/11/2008;81;000049;LIMPIEZA DE MAQUINA, SACAR MOTOR, TRANSMISION Y DESPIECE DE TRANSMISION EN BANCO. MONTAJE DE TRANSMISION Y COLOCACION DE MOTOR Y TRANSMISION EN MAQUINA.;120;0;01;16;4;28;01;005
800;26/11/2008;81;000053;DESPLAZAMIENTO A FABRICA, DESMONTAR DOS CADENAS DE PROTECCION DE NEUMATICOS USADAS;20;0;01;16;4;28;01;005
800;26/11/2008;81;000053;MONTAR CADENA PROTECTORA EN RUEDA;15;0;01;16;4;28;01;010
800;01/12/2008;81;000056;DESPLAZAMIENTO, DESMONTAR INYECTOR, COLOCACION DE NUEVO Y AJUSTES;3,5;0;01;16;4;30;01;005
101;21/01/2009;91;000003;REPARACION;30;0;01;16;4;26;01;005
101;29/01/2009;91;000004;MONTAJE DE SISTEMA SEGURIDAD;8;0;01;16;4;26;01;005
101;29/01/2009;91;000005;MONTAJE DE SISTEMA SEGURIDAD;8;0;01;16;4;26;01;005
800;16/02/2009;91;000009;DESPLAZAMIENTO A CANTERA , SACAR LA  TRANSMISION DEL CAMION PARA SU REPARACION EN TALLER;20;0;01;16;4;28;01;005
101;16/02/2009;91;000009;DESPIECE DE LA  TRANSMISION EN TALLER;15;0;01;16;4;28;02;005
101;26/02/2009;91;000011;MANO DE OBRA;60;0;01;16;4;28;01;005
101;26/02/2009;91;000012;MANO DE OBRA;60;0;01;16;4;28;01;005
