CODALM;CODPDT;LOCALIZ;SISVAL;PVP1;PVP2;PVP3;PVP4;PVP5;PRESTA;PREULT;PREMED;CANEXI;CODPRV;STOCKMIN;STOCKMAX
01;4N2511;;M;155,33759;129,44599;71,65266;0;0;0;0;9;0;3;0;0
01;90181;030202;M;52,0176;0;0;0;0;0;0;0;0;6;0;0
01;6V2611;;M;21,5583;17,96425;0;0;0;0;0;0;0;3;0;0
01;8H9520;01040202;M;3,64;0;3,64;0;3,34;0;0;1,62;0;2;0;0
01;3E2026;07050415;M;122,2098;101,8415;0;0;0;0;0;0,57;0;3;0;0
01;1863736;070603;M;1,41;1,41;1,41;1,41;1,41;0;0;1,02667;0;3;0;0
01;0750115180;E;M;117,35963;0;0;0;0;0;78,5042;0;0;102;0;0
01;0750116100;E;M;125,97815;0;0;0;0;0;84,26791;84,26791;0;102;0;0
01;3S0336;E;M;1,34627;1,12389;0;0;0;0;1,04576;1,04576;0;3;0;0
01;1860-28-34;E;M;0,51086;0;0;0;0;0;0;0;-2;11;0;0
01;CR3213;E;M;235,17604;0;0;0;0;0;171,03001;171,03001;0;00000;0;0
01;CR3214;E;M;235,17604;0;0;0;0;0;171,03001;171,03001;0;00000;0;0
01;CR1542;E;M;18,93188;0;0;0;0;0;13,76318;13,76318;0;00000;0;0
01;CR1547;E;M;25,96973;0;0;0;0;0;17,36925;17,36925;0;00000;0;0
01;CR3119;E;M;2,69253;0;0;0;0;0;1,77299;1,77299;0;00000;0;0
01;MOH;E;M;224,62827;0;0;0;0;0;72,12145;72,12145;0;00000;0;0
01;76056;010304;M;0,0601;0;0;0;0;0;0;0,01794;-14;7;0;0
01;646008;E;M;0,60101;0;0;0;0;0;0,2945;0;0;94;0;0
01;4900-4;E;M;0,45076;0;0;0;0;0;0,32789;0,328;10;94;0;0
01;1543265C1;E;M;65,96108;0;0;0;0;0;29,38348;36,73687;0;37;0;0
01;4905-6013;010501;M;62,4;0;42,87;0;42,87;0;0;16,375;-4;32;0;0
01;4905-6213;010402;M;54,36154;0;54,36;0;54,36;0;0;22,48731;0;32;0;0
01;6N3256;E;M;85,81251;0;0;0;0;0;57,39666;0;0;2;0;0
01;420.554;E;M;16,11914;0;0;0;0;0;8,05957;8,05957;0;22;0;0
01;1852-104;E;M;98,4578;0;0;0;0;0;47,16371;0,282;0;00001;0;0
01;1852-105;E;M;58,53858;0;0;0;0;0;25,8037;0,156;0;00001;0;0
01;1852-106;E;M;101,61312;0;0;0;0;0;48,8518;0,294;0;00001;0;0
01;1852-107;E;M;50,27466;0;0;0;0;0;21,38251;0,126;0;00001;0;0
01;1852-108;E;M;45,85722;0;0;0;0;0;19,01918;0,114;0;00001;0;0
01;1852-109;E;M;51,80724;0;0;0;0;0;22,20244;0,132;0;00001;0;0
01;1852-110;E;M;40,29786;0;0;0;0;0;16,04492;0,096;0;00001;0;0
01;1852-111;E;M;57,39666;0;0;0;0;0;25,19278;0,15;0;00001;0;0
01;1852-112;E;M;22,4478;0;0;0;0;0;6,49514;0,036;0;00001;0;0
01;1852-113;E;M;31,52308;0;0;0;0;0;11,35042;0,066;0;00001;0;0
01;1852-114;E;M;35,54987;0;0;0;0;0;13,50474;0,084;0;00001;0;0
01;1852-115;E;M;31,22258;0;0;0;0;0;11,18964;0,066;0;00001;0;0
01;1852-116;E;M;35,85037;0;0;0;0;0;13,66551;0,084;0;00001;0;0
01;1852-117;E;M;33,98723;0;0;0;0;0;12,66874;0,078;0;00001;0;0
01;1852-118;E;M;40,68852;0;0;0;0;0;16,25392;0,096;0;00001;0;0
01;1852-119;E;M;26,59479;0;0;0;0;0;8,71378;0,054;0;00001;0;0
01;1852-120;E;M;24,73165;0;0;0;0;0;-51,99957;-0,31201;0;00001;0;0
01;1852-121;E;M;77,32021;0;0;0;0;0;35,84223;0,216;0;00001;0;0
01;1852-122;E;M;237,24953;0;0;0;0;0;121,41406;0,726;0;00001;0;0
01;498.337;E;M;13,21025;0;0;0;0;0;6,60512;6,60512;0;22;0;0
01;436.394;E;M;5,56537;0;0;0;0;0;2,78269;2,78269;0;22;0;0
01;84091;E;M;16,22733;0;0;0;0;0;10,81822;0;0;11;0;0
01;9K1591;E;M;123,77844;0;0;0;0;0;68,06;68,06;0;2;0;0
01;3B1915;;M;0,75127;0;0,75;0;0,34;0;0;0,22024;-21;36;0;0
